
76,76
81,81
79,79
77,77
69,69,64,52,40,52
71,71,64,52,40,52
64,64,64,56,44,56
71,71,64,56,44,56
74,74,64,56,44,56
72,72,64,57,45,57
71,71,62,57,45,57
72,72,64,57,45,57
69,69,60,55,43,55
72,72,60,55,43,55
76,76,57,55,43,55
81,81,61,54,42,54
79,79,61,54,42,54
78,78,69,63,54,42,54
79,79,76,64,52,40,52
79,79,74,64,52,40,52
79,79,72,66,52,40,52
79,79,71,67,40,28,40
78,78,69,69,40,28,40
76,76,67,71,40,28,40
83,83,66,71,51,39,51
83,83,67,71,51,39,51
83,83,69,66,51,39,51
83,83,67,64,52,40,52
81,81,66,64,52,40,52
83,83,67,59,52,40,52
79,79,64,59,40,28,40
78,78,66,59,40,28,40
76,76,67,64,40,28,40
83,83,59,67,52,40,52
83,83,64,67,52,40,52
83,83,67,64,52,40,52
83,83,66,71,51,39,51
83,83,64,71,51,39,51
83,83,66,66,51,39,51
83,83,63,66,47,35,47
83,83,64,64,47,35,47
83,83,66,63,47,35,47
83,83,59,66,51,39,51
83,83,66,66,51,39,51
83,83,69,59,51,39,51
83,83,67,64,52,40,52
81,81,66,64,52,40,52
83,83,67,59,52,40,52
79,79,64,71
79,79,67,71
76,76,71,71
78,78,74,71
78,78,72,71
80,80,71,64,52,40,52
81,81,72,64,57,45,57
81,81,72,64,55,43,55
69,69,72,69,53,41,53
72,72,72,69,52,40,52
72,72,71,69,50,38,50
76,76,69,64,48,36,48
80,80,76,74,47,35,47
81,81,76,74,48,36,48
83,83,76,68,50,38,50
81,81,76,69,48,36,48
80,80,74,69,47,35,47
81,81,76,64,48,36,48
76,76,72,69,45,33,45
74,74,71,69,47,35,47
76,76,69,64,48,36,48
72,72,76,69,40,28,40
76,76,76,69,45,33,45
81,81,76,64,48,36,48
80,80,76,62,47,35,47
78,78,76,60,45,33,45
80,80,76,62,47,35,47
76,76,76,59,44,32,44
76,76,76,60,45,33,45
80,80,76,62,47,35,47
83,83,76,56,40,28,40
81,81,76,56,47,35,47
80,80,76,59,50,38,50
81,81,76,64,48,36,48
81,81,74,64,47,35,47
81,81,76,57,48,36,48
72,64,45,33,45
72,64,48,36,48
72,72,69,64,52,40,52
76,76,71,64,55,43,55
76,76,71,65,53,41,53
81,81,73,67,52,40,52
74,74,74,69,53,41,53
74,74,73,69,53,41,53
65,65,74,62,53,41,53
69,69,62,65
69,69,65,65
74,74,69,65,50,38,50
67,67,72,64,52,40,52
67,67,71,64,52,40,52
74,74,69,69,54,42,54
74,74,71,67,55,43,55
72,72,71,67,55,43,55
74,74,59,55,55,43,55
67,67,62,59
71,71,62,59
74,74,67,59,43,31,43
77,77,60,57,45,33,45
76,76,60,57,45,33,45
74,74,67,67,47,35,47
76,76,67,72,48,36,48
76,76,67,71,48,36,48
77,77,65,69,50,38,50
79,79,64,67,52,40,52
79,79,64,65,50,38,50
79,79,67,64,48,36,48
79,79,71,62,55,43,55
79,79,72,64,55,43,55
71,71,74,65,55,43,55
72,72,72,64,55,43,55
72,72,71,62,53,41,53
67,67,72,64,55,43,55
79,79,67,60,52,40,52
79,79,65,62,50,38,50
79,79,64,64,48,36,48
79,79,64,55,55,43,55
67,60,55,43,55
69,69,72,64,55,43,55
71,71,71,62,55,43,55
71,71,69,60,55,43,55
67,67,71,62,55,43,55
77,77,67,59,55,43,55
77,77,67,60,55,43,55
77,77,71,62,55,43,55
77,77,74,55,55,43,55
72,62,55,43,55
74,74,71,65,55,43,55
76,76,72,64,48,36,48
76,76,72,62,48,36,48
79,79,72,64
76,76,60
76,76,64
71,71,65,67,50,38,50
72,72,64,72,52,40,52
68,68,64,71,52,40,52
69,69,72,69,53,41,53
74,74,71,71,44,32,44
72,72,69,71,44,32,44
74,74,71,71
83,83,64,71
83,83,68
80,80,71,76,40,28,40
81,81,74,69,42,30,42
81,81,72,69,42,30,42
83,83,71,64,44,32,44
76,76,72,64,45,33,45
74,74,71,64,45,33,45
76,76,72,64,45,33,45
69,69,81
72,72,81
76,76,73,69,57,45,57
79,79,74,62,59,47,59
77,77,74,62,59,47,59
76,76,76,69,61,49,61
77,77,69,74,62,50,62
76,76,69,74,62,50,62
77,77,69,74,50,38,50
74,74,50,38,50
77,77,50,38,50
81,81,77,69,62,50,62
81,81,77,62,62,50,62
82,82,76,62,61,49,61
74,74,77,70,62,50,62
76,76,76,70,60,48,60
74,74,76,70,60,48,60
76,76,76,69,48,36,48
72,72,48,36,48
76,76,48,36,48
80,80,76,64,60,48,60
80,80,76,60,60,48,60
81,81,74,60,59,47,59
69,69,76,69,60,48,60
74,74,74,69,59,47,59
74,74,74,69,57,45,57
74,74,62,68,59,47,59
74,74,65,56,44,56
74,74,65,57,45,57
74,74,62,68,59,47,59
74,74,59,68,52,40,52
74,74,59,68,56,44,56
74,74,68,64,59,47,59
74,74,68,64,48,36,48
72,72,69,64,48,36,48
71,71,71,64,48,36,48
76,76,69,64,48,36,48
69,69,65,62,50,38,50
64,64,64,60,52,40,52
68,68,64,59,40,28,40
69,69,64,60,45,33,45
